path_to_object,start_date,end_date_time,duration,PM_name,index,value
S01MTGDN01/ULGROUP,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,UL BB Resource Group No.=0,0,2023-06-20T23:00:00-04:00
S01MTGDN01/ULGROUP,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,UL BB Resource Group No.=0,0,PT3600S
S01MTGDN01/ULGROUP,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,UL BB Resource Group No.=0,0,2023-06-21T00:00:00-04:00
S01MTGDN01/ULGROUP,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,UL BB Resource Group No.=0,0,S01MTGDN01/ULGROUP:UL BB Resource Group No.=0
S01MTGDN01/BRD,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=BBP, Cabinet No.=0, Subrack No.=0, Slot No.=3",,
S01MTGDN01/BRD,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=BBP, Cabinet No.=0, Subrack No.=0, Slot No.=3",0,PT3600S
S01MTGDN01/BRD,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=BBP, Cabinet No.=0, Subrack No.=0, Slot No.=3",0,2023-06-21T00:00:00-04:00
S01MTGDN01/BRD,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=BBP, Cabinet No.=0, Subrack No.=0, Slot No.=3",0,S01MTGDN01/BRD:Board Type=BBP
S01MTGDN01/BRD,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=BBP, Cabinet No.=0, Subrack No.=0, Slot No.=3",1, Cabinet No.=0
S01MTGDN01/BRD,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=BBP, Cabinet No.=0, Subrack No.=0, Slot No.=3",2, Subrack No.=0
S01MTGDN01/BRD,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=BBP, Cabinet No.=0, Subrack No.=0, Slot No.=3",3, Slot No.=3
S01MTGDN01/NODEBRRU,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Cabinet No.=0, Subrack No.=82, Slot No.=0",,
S01MTGDN01/NODEBRRU,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Cabinet No.=0, Subrack No.=82, Slot No.=0",0,PT3600S
S01MTGDN01/NODEBRRU,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Cabinet No.=0, Subrack No.=82, Slot No.=0",0,2023-06-21T00:00:00-04:00
S01MTGDN01/NODEBRRU,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Cabinet No.=0, Subrack No.=82, Slot No.=0",0,S01MTGDN01/NODEBRRU:Cabinet No.=0
